,id,street_id,activity,task_description,status,street,start_year,stop_date_actual,route_ahead,route_back,program_year
49,54535252,6881,Base Repair,,Completed,GOE AVE,2010,2010-08-18,BRIGHTON RD,PARVISS ST,
50,1480059651,14684,Base Repair,,Completed,WESTMONT AVE,2009,2009-07-20,COPPERFIELD AVE,NEWETT ST,
51,470799425,2547,Base Repair,,Completed,GAEL WAY,2013,2013-08-27,SWAN WAY,JANCEY ST,
52,608305504,14358,Base Repair,,Completed,GAEL WAY,2013,2013-08-27,CHISLETT ST,SWAN WAY,
53,1630517579,12757,Base Repair,,Completed,CENTRE AVE,2010,2010-09-23,S NEGLEY AVE,S GRAHAM ST,
54,498063296,16408,Base Repair,,Completed,MARY ST,2013,2013-11-07,STEPS,S 29TH ST,
55,1591306819,3513,Base Repair,,Completed,ELLSWORTH AVE,2009,2009-08-07,CLYDE ST,ELLSWORTH TER,
56,1737334054,9185,Base Repair,,Completed,WOODBOURNE AVE,2013,2013-11-14,CHELTON AVE,ROCKFORD AVE,
57,1593864081,5996,Base Repair,,Completed,SENECA ST,2009,2009-05-15,FORBES AVE,WATSON ST,
58,1154674175,12448,Base Repair,,Completed,CLAIRTONIC ST,2013,2013-05-31,EARLHAM ST,ELRAMA WAY,
59,1308593522,11299,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,FRANKSTOWN AVE,FELICIA WAY,
60,1299358290,10042,Base Repair,,Completed,CLAIRTONIC ST,2013,2013-05-31,DEAD END,ROUND TOP ST,
61,1307208950,5074,Base Repair,,Completed,BENNINGTON AVE,2014,2014-06-06,PLAINFIELD ST,MAYNARD ST,
62,1852141440,16070,Base Repair,,Completed,SERENE ST,2009,2009-07-24,BADER ST,JOBO WAY,
63,411994882,3463,Base Repair,,Completed,FERNDALE ST,2010,2010-10-26,LAWNDALE ST,OZAN WAY,
64,785132576,19923,Base Repair,,Completed,N CRAIG ST,2011,2011-08-31,CENTRE AVE,BAYARD ST,
65,1794854369,3753,Base Repair,,Completed,STEWART AVE,2010,2010-06-30,BETHESDA ST,MELODY ST,
66,793648320,13039,Base Repair,,Completed,HOLCOMB AVE,2013,2013-09-25,BARBADOES AVE,ROCKFORD AVE,
67,624509315,12039,Base Repair,,Completed,STEWART AVE,2010,2010-06-30,MELODY ST,WINDFALL WAY,
68,2131077743,7150,Base Repair,,Completed,JILLSON AVE,2013,2013-10-02,KENILWORTH ST,PARQUET ST,
69,1495684216,4366,Base Repair,,Completed,ELLSWORTH AVE,2009,2009-06-22,ELLSWORTH PL,COLONIAL PL,
70,980479639,6181,Base Repair,,Completed,NORTHUMBERLAND ST,2009,2009-08-11,SHADY AVE,ASBURY PL,
71,1840725515,5024,Base Repair,,Completed,MONITOR ST,2014,2014-05-30,SALINE ST,MONITOR ST,
72,150010489,3492,Base Repair,,Completed,CLARISSA ST,2009,2009-09-11,WICHITA WAY,MILWAUKEE ST,
73,2141087826,2426,Base Repair,,Completed,TENNYSON AVE,2009,2009-08-10,BIGELOW BLVD,FIFTH AVE,
74,1423612021,4146,Base Repair,,Completed,MCDONALD ST,2010,2010-08-16,DEAD END,VENUS WAY,
75,1186226899,15424,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,FINANCE ST,THOMAS ST,
76,948096160,3164,Base Repair,,Completed,WESTMORELAND AVE,2010,2010-08-19,DEAD END,JOSHUA ST,
77,269883447,7318,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,MEADE ST,PENN AVE,
78,1767025722,16768,Base Repair,,Completed,SACRAMENTO AVE,2012,2012-08-29,GEORGE ST,PAULDING AVE,
79,153288045,16536,Base Repair,,Completed,26TH ST,2011,2011-09-20,MULBERRY WAY,SMALLMAN ST,
80,1498078618,10919,Base Repair,,Completed,VILSACK ST,2013,2013-08-27,CHISLETT ST,SWAN WAY,
81,1304669885,19193,Base Repair,,Completed,FLOTILLA WAY,2009,2009-07-01,FORBES AVE,EDGERTON AVE,
82,526629539,9682,Base Repair,,Completed,CATO ST,2010,2010-08-10,HARDIE WAY,JULIET ST,
83,1281349541,16253,Base Repair,,Completed,FERNDALE ST,2010,2010-10-26,BLACKADORE ST,ANGORA WAY,
84,1842110435,89,Base Repair,,Completed,VILSACK ST,2013,2013-08-27,MORNINGSIDE AVE,KALAMAZOO WAY,
85,298186117,18627,Base Repair,,Completed,VILSACK ST,2013,2013-08-27,VILLANOVA RD,TEAK WAY,
86,1415614303,17925,Base Repair,,Completed,STEWART AVE,2010,2010-06-30,VIDA WAY,BROWNSVILLE RD,
87,54947012,156,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,CASSINA WAY,SUSQUEHANNA ST,
88,1811473732,3656,Base Repair,,Completed,ELLSWORTH AVE,2009,2009-06-22,S AIKEN AVE,ST JAMES ST,
89,809734222,573,Base Repair,,Completed,VILSACK ST,2013,2013-08-27,JANCEY ST,SNOW WAY,
90,1736870991,6663,Base Repair,,Completed,MAYVILLE AVE,2009,2009-07-15,BANTAM WAY,PIONEER AVE,
91,1877596550,11079,Base Repair,,Completed,BARRY ST,2014,2014-09-20,MCCORD ST,JOSEPHINE ST,
92,399051815,6788,Base Repair,,Completed,BENNINGTON AVE,2014,2014-06-06,MAYNARD ST,FAIR OAKS ST,
93,1886236620,18813,Base Repair,,Completed,WELLESLEY AVE,2010,2010-05-14,N EUCLID AVE,N ST CLAIR ST,
94,2070596053,10015,Base Repair,,Completed,HAZELWOOD AVE,2010,2010-07-06,BEECHWOOD BLVD,MURRAY AVE,
95,1938784539,1979,Base Repair,,Completed,FAIRHOPE ST,2012,2012-09-10,DEW WAY,CLIFTON ST,
96,1352050215,4155,Base Repair,,Completed,N EUCLID AVE,2015,2015-04-29,CALLOWHILL ST,IONIC WAY,
97,761148313,19832,Base Repair,,Completed,DARTMORE ST,2010,2010-07-01,YALE DR,MIDWOOD AVE,
98,671870450,8311,Base Repair,,Completed,SANTRON AVE,2012,2012-07-25,AMZI WAY,ALMONT ST,
99,164987777,11030,Base Repair,,Completed,GOLDSTROM AVE,2012,2012-07-02,BANKSVILLE RD,RUTHERFORD AVE,
100,390689093,16189,Base Repair,,Completed,VINIAL ST,2009,2009-07-28,AHLERS WAY,WELSER WAY,
101,605467521,12929,Base Repair,,Completed,AURELIA ST,2014,2014-08-04,MARCHAND ST,KAUFMAN WAY,
102,512674502,17707,Base Repair,,Completed,CARRINGTON ST,2014,2014-07-03,ARCH ST,FIREMAN WAY,
103,1990400226,8068,Base Repair,,Completed,GEORGIA AVE,2015,2015-04-23,WILBUR WAY,REIFERT ST,
104,595327105,19640,Base Repair,,Completed,BARTLETT ST,2010,2010-09-29,HOBART RD RAMP,HOBART RD,
105,266134363,13448,Base Repair,,Completed,WELLESLEY AVE,2010,2010-05-14,N ST CLAIR ST,COSTAR WAY,
106,1388592811,19530,Base Repair,,Completed,AURELIA ST,2014,2014-08-04,DENNISTON PL,MELMORE WAY,
107,446539236,12644,Base Repair,,Completed,FERNDALE ST,2010,2010-10-26,OZAN WAY,BLACKADORE ST,
108,1312834265,8101,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,ALSACE WAY,TIOGA ST,
109,1838384150,3005,Base Repair,,Completed,GEORGIA AVE,2015,2015-04-23,WILBUR ST,WILBUR WAY,
110,2036946753,18737,Base Repair,,Completed,ONEIDA ST,2010,2010-06-02,VIRGINIA AVE,W SYCAMORE ST,
111,1985694116,15659,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,ANNAN WAY,FINANCE ST,
112,1541995355,4828,Base Repair,,Completed,ONEIDA ST,2010,2010-06-20,PAWNEE ST,BASIL WAY,
113,347091706,572,Base Repair,,Completed,VILSACK ST,2013,2013-08-27,KALAMAZOO WAY,DUFFIELD ST,
114,226986926,14380,Base Repair,,Completed,CRANE AVE,2010,2010-07-23,LOWENHILL ST,BRASHEAR HIGH DR,
115,1127659949,2308,Base Repair,,Completed,HARCUM WAY,2013,2013-11-07,29TH ST,MARY JANE ST,
116,824835801,4536,Base Repair,,Completed,CLAIRTONIC ST,2013,2013-05-31,OAKMONT ST,KIRWAN WAY,
117,1222287003,12094,Base Repair,,Completed,HARPSTER ST,2009,2009-08-04,DEAD END,FROMAN ST,
118,1059792125,8676,Base Repair,,Completed,STEWART AVE,2010,2010-06-30,PARKDALE ST,PARKDALE AVE,
119,2030656450,6915,Base Repair,,Completed,VILSACK ST,2013,2013-08-27,SWAN WAY,JANCEY ST,
120,1170156310,19477,Base Repair,,Completed,E AGNEW AVE,2010,2010-09-08,BECKS RUN RD,DOWLING ST,
121,2122930338,13233,Base Repair,,Completed,SUNCREST ST,2010,2010-09-08,ROLL WAY,BROWNSVILLE RD,
122,509076563,16563,Base Repair,,Completed,AURELIA ST,2014,2014-08-04,MELMORE WAY,MELMORE WAY,
123,103411541,7477,Base Repair,,Completed,STRAUBS LN,2010,2010-10-19,NIGGEL ST,SUNDEMAN ST,
124,1258960110,17888,Base Repair,,Completed,FAULKNER ST,2009,2009-05-11,CHARTIERS AVE,ALLENDORF ST,
125,1625892548,8356,Base Repair,,Completed,LINDBERG AVE,2010,2010-05-27,PLAPORT WAY,LOUGEAN AVE,
126,2014524162,2745,Base Repair,,Completed,FAULKNER ST,2009,2009-05-11,ALLENDORF ST,HUXLEY ST,
127,533513066,15567,Base Repair,,Completed,FINANCE ST,2009,2009-05-29,N DUNFERMLINE ST,ALBION ST,
128,1548063543,5479,Base Repair,,Completed,LINDBERG AVE,2010,2010-05-27,LOUGEAN AVE,KINLEY WAY,
129,486593368,2215,Base Repair,,Completed,WELLESLEY AVE,2010,2010-05-14,SAMANTHA WAY,KING AVE,
130,1701915246,4561,Base Repair,,Completed,PARKFIELD ST,2015,2015-04-27,RIOTA WAY,COPPERFIELD AVE,
131,2143331557,17610,Base Repair,,Completed,WESTMORELAND AVE,2010,2010-08-19,SOMERSET ST,LEMINGTON AVE,
132,1523947075,15087,Base Repair,,Completed,KING AVE,2012,2012-10-09,BRYANT ST,BEVERLY PL,
133,2133399685,13905,Base Repair,,Completed,FINANCE ST,2009,2009-05-29,ALBION ST,ZENITH WAY,
134,221181334,4228,Base Repair,,Completed,WALLINGFORD ST,2014,2014-06-09,DEVONSHIRE ST,NEVILLE ST,
135,1354186342,6350,Base Repair,,Completed,WENTWORTH AVE,2010,2010-06-14,FALLOWFIELD AVE,BEECHVIEW AVE,
136,350965759,17668,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,FELICIA WAY,BENNETT ST,
137,1195785664,6798,Base Repair,,Completed,GEORGIA AVE,2015,2015-04-23,DEAD END,WILBUR ST,
138,393965554,6102,Base Repair,,Completed,HAMILTON AVE,2014,2014-06-20,BRUSHTON AVE,DURANGO WAY,
139,1003253413,4614,Base Repair,,Completed,ALDER ST,2014,2014-06-05,AKRON WAY,MARYLAND AVE,
140,690427779,17484,Base Repair,,Completed,KELLY ST,2012,2012-05-04,HALE ST,NEUMAN WAY,
141,2032689887,16192,Base Repair,,Completed,HOLCOMB AVE,2013,2013-09-25,BELTRAM AVE,BARBADOES AVE,
142,1587906267,8774,Base Repair,,Completed,BASIN ST,2014,2014-07-25,BRABEC ST,GOETTMANN ST,
143,1709942762,12025,Base Repair,,Completed,SANTRON AVE,2012,2012-07-25,VALERA ST,AZUR WAY,
144,1055849381,16262,Base Repair,,Completed,CREEDMOOR AVE,2010,2010-06-08,CLIPPERT AVE,BROOKLINE BLVD,
145,452489434,13037,Base Repair,,Completed,BEAM WAY,2009,2009-10-08,KEARSARGE ST,MAPLE TER,
146,1422199639,9394,Base Repair,,Completed,SACRAMENTO AVE,2012,2012-08-29,NARCISSUS AVE,HAMMOND ST,
147,850876230,19766,Base Repair,,Completed,MONITOR ST,2014,2014-05-30,BEECHWOOD BLVD,BEECHWOOD BLVD,
148,235086940,5598,Base Repair,,Completed,MILLINGTON RD,2014,2014-06-27,LORETTA ST,MELBOURNE ST,
149,1650480917,6989,Base Repair,,Completed,ELLSWORTH AVE,2009,2009-06-22,MOORHEAD PL,ELLSWORTH PL,
150,1333072319,17074,Base Repair,,Completed,COLLIER ST,2009,2009-08-13,FORMOSA WAY,HAMILTON AVE,
151,18183424,7487,Base Repair,,Completed,MOUNTAIN AVE,2013,2013-10-24,WAGNER ST,CRESSWELL ST,
152,91235851,12600,Base Repair,,Completed,WELLESLEY AVE,2010,2010-05-19,COSTAR WAY,MELLON ST,
153,1317524867,9159,Base Repair,,Completed,SACRAMENTO AVE,2012,2012-08-29,HAMMOND ST,WYCKOFF AVE,
154,1993618596,11464,Base Repair,,Completed,SACRAMENTO AVE,2012,2012-08-29,MINTON ST,NARCISSUS AVE,
155,265361590,13683,Base Repair,,Completed,LAGER ST,2009,2009-07-28,HATTERAS ST,LOWRIE ST,
156,1762290971,16729,Base Repair,,Completed,WESTMORELAND AVE,2010,2010-08-19,JOSHUA ST,TOGA ST,
157,650554266,2499,Base Repair,,Completed,WELLESLEY AVE,2010,2010-05-14,PORTLAND ST,N NEGLEY AVE,
158,993694190,9715,Base Repair,,Completed,HAMILTON AVE,2014,2014-06-20,DURANGO WAY,N BRADDOCK AVE,
159,1656610750,13758,Base Repair,,Completed,FERNDALE ST,2010,2010-10-26,ANGORA WAY,WHEELER ST,
160,882308099,727,Base Repair,,Completed,26TH ST,2011,2011-09-20,SMALLMAN ST,SPRUCE WAY,
161,1470470852,12099,Base Repair,,Completed,HARPSTER ST,2009,2009-08-04,TINSBURY ST,CLAIM ST,
162,542964354,11903,Base Repair,,Completed,GOE AVE,2010,2010-05-06,WAPELLO ST,HARVARD CIR,
163,1736277013,14703,Base Repair,,Completed,DARTMORE ST,2010,2010-07-01,MIDWOOD AVE,PARKFIELD ST,
164,405252701,19379,Base Repair,,Completed,CLARISSA ST,2009,2009-09-11,LYON ST,WICHITA WAY,
165,1719507032,857,Base Repair,,Completed,ADELAIDE ST,2009,2009-05-05,IOWA ST,CAMP ST,
166,1917902358,13740,Base Repair,,Completed,PARKFIELD ST,2015,2015-04-27,DARTMORE ST,FAIRLAND ST,
167,1668037566,7757,Base Repair,,Completed,WALLINGFORD ST,2014,2014-06-09,UNNAMED51P52B WAY,DEVONSHIRE ST,
168,294889299,9228,Base Repair,,Completed,HIGHNOTE WAY,2009,2009-09-09,NORTHERN WAY,LAUGHLIN AVE,
169,1804807161,10772,Base Repair,,Completed,ANAHEIM ST,2011,2011-08-31,IOWA ST,CAMP ST,
170,159006590,17747,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,THOMAS ST,MEADE ST,
171,145298383,16523,Base Repair,,Completed,MORANGE RD,2011,2011-08-11,IDLEWOOD RD,MUNCIE ST,
172,1468926509,5613,Base Repair,,Completed,STRAUBS LN,2010,2010-10-19,ROESSLER ST,NIGGEL ST,
173,811112111,16264,Base Repair,,Completed,BENNINGTON AVE,2014,2014-06-06,NORTHUMBERLAND ST,PLAINFIELD ST,
174,1699084051,10533,Base Repair,,Completed,SIMONA DR,2012,2012-05-10,FARMINGTON ST,FAIRFIELD ST,
175,1947640546,7488,Base Repair,,Completed,PURITAN WAY,2014,2014-06-17,HOWE ST,SELLERS ST,
176,1071621027,7205,Base Repair,,Completed,BOROUGH ST,2009,2009-07-20,GEBHART ST,CABIN ST,
177,699626282,7140,Base Repair,,Completed,COLLIER ST,2009,2009-08-13,KELLY ST,FORMOSA WAY,
178,331459479,2329,Base Repair,,Completed,HAMILTON AVE,2014,2014-06-20,N BRADDOCK AVE,COLLIER ST,
179,50439904,460,Base Repair,,Completed,E ELIZABETH ST,2013,2013-06-18,DEAD END,ELECTRIC ST,
180,703925956,2296,Base Repair,,Completed,CAMPO WAY,2009,2009-08-26,HAITI ST,HAZELDELL ST,
181,598576571,14835,Base Repair,,Completed,NOLLHILL ST,2013,2013-08-06,CENTURY AVE,FREDANNA ST,
182,204536044,11391,Base Repair,,Completed,ORMSBY ST,2009,2009-10-08,ST JOSEPH ST,BURR ST,
183,1439611648,10620,Base Repair,,Completed,EAST LIBERTY BLVD,2010,2010-07-28,DAHLEM PL,HAMILTON AVE,
184,1363030548,15870,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,FLEURY WAY,KELLY ST,
185,696311570,515,Base Repair,,Completed,WELLESLEY AVE,2010,2010-05-14,N HIGHLAND AVE,BEATTY WAY,
186,404256430,841,Base Repair,,Completed,WILTSIE ST,2010,2010-08-19,E CHESTER ST,WARDSONS ST,
187,81350464,13415,Base Repair,,Completed,ALDER ST,2014,2014-06-05,COLLEGE AVE,AKRON WAY,
188,937429003,11027,Base Repair,,Completed,CENTRE AVE,2013,2013-07-16,CHESNEY WAY,N DITHRIDGE ST,
189,1409504040,11872,Base Repair,,Completed,HAMILTON AVE,2014,2014-06-20,HALE ST,NEUMAN WAY,
190,1041312304,3446,Base Repair,,Completed,MAYVILLE AVE,2009,2009-07-15,HARTRANFT ST,BANTAM WAY,
191,1905956505,7025,Base Repair,,Completed,FLOTILLA WAY,2009,2009-07-01,EDGERTON AVE,WAVERLY ST,
192,626605843,5376,Base Repair,,Completed,BRIGHTON RD,2012,2012-05-21,PENNSYLVANIA AVE,N TAYLOR AVE,
193,866116453,12396,Base Repair,,Completed,STRAUBS LN,2010,2010-10-19,CITY LIMIT,ROESSLER ST,
194,2086652474,16331,Base Repair,,Completed,COLTART AVE,2010,2010-08-20,ZULEMA ST,UNNAMED28L WAY,
195,1493024560,12949,Base Repair,,Completed,MIDDLETOWN RD,2009,2009-05-19,STRAKA ST,JUSTINE ST,
196,1064832002,1928,Base Repair,,Completed,LINDBERG AVE,2010,2010-05-27,LITTLE ST,THEODORE ST,
197,1942176095,6550,Base Repair,,Completed,MARTERA PL,2010,2010-08-20,DEAD END,MARTERA PL,
198,1705972603,17968,Base Repair,,Completed,EAST ST,2009,2009-08-04,VENTURE ST,MT PLEASANT RD,
199,1178339170,18912,Base Repair,,Completed,POTOMAC AVE,2009,2009-07-22,DODDS AVE,AUTUMNWOOD DR,
200,1644408741,13044,Base Repair,,Completed,JILLSON AVE,2013,2013-10-02,PLAINVIEW AVE,KENILWORTH ST,
201,1574835117,9896,Base Repair,,Completed,ONONDAGO ST,2013,2013-07-18,WHIPPLE ST,LOVE ST,
202,71697246,3251,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,MULFORD ST,ALSACE WAY,
203,215089584,15085,Base Repair,,Completed,BARRY ST,2014,2014-09-20,MISSION ST,STELLA ST,
204,1516488889,17240,Base Repair,,Completed,WILKINSBURG AVE,2011,2011-06-23,VIDETTE ST,ROLFE ST,
205,1649062624,11513,Base Repair,,Completed,CAMPO WAY,2009,2009-08-26,NUZUM AVE,HAITI ST,
206,1495337036,5660,Base Repair,,Completed,HAMILTON AVE,2014,2014-06-20,MUTI WAY,HALE ST,
207,2100963873,2359,Base Repair,,Completed,AURELIA ST,2014,2014-08-04,MELMORE WAY,SHADY AVE,
208,1077419594,8238,Base Repair,,Completed,ELLSWORTH AVE,2009,2009-08-07,MOREWOOD AVE,DEVONSHIRE ST,
209,1402179502,7581,Base Repair,,Completed,MILLINGTON RD,2014,2014-06-27,MELBOURNE ST,NORFOLK ST,
210,27953669,1946,Base Repair,,Completed,AURELIA ST,2014,2014-08-04,KAUFMAN WAY,DENNISTON PL,
211,1082712032,19606,Base Repair,,Completed,BEACON ST,2010,2010-05-20,SHADY AVE,MURRAY AVE,
212,1541649041,7107,Base Repair,,Completed,SACRAMENTO AVE,2012,2012-08-29,WYCKOFF AVE,DEAD END,
213,930036344,12416,Base Repair,,Completed,PAULSON AVE,2009,2009-08-14,DIX WAY,REIMER WAY,
214,665547175,2808,Base Repair,,Completed,VINIAL ST,2009,2009-07-28,WELSER WAY,VOSKAMP ST,
215,1171790636,5248,Base Repair,,Completed,SEMPLE ST,2010,2010-08-09,FRESCO WAY,FORBES AVE,
216,936026632,2609,Base Repair,,Completed,HARPSTER ST,2009,2009-08-04,FROMAN ST,TINSBURY ST,
217,107284521,3516,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,KELLY ST,FORMOSA WAY,
218,1652452000,6353,Base Repair,,Completed,SAN PEDRO ST,2010,2010-05-06,DREXEL RD,SAN PEDRO PL,
219,1073569894,19754,Base Repair,,Completed,SUNCREST ST,2010,2010-09-08,ROLL WAY,ROLL WAY,
220,468078929,10691,Base Repair,,Completed,ONONDAGO ST,2013,2013-07-18,LOVE ST,NIGHTINGALE WAY,
221,605384216,5921,Base Repair,,Completed,ELLSWORTH AVE,2009,2009-06-22,COLONIAL PL,PITCAIRN PL,
222,919608951,7482,Base Repair,,Completed,VINIAL ST,2009,2009-07-28,VOSKAMP ST,WETTACH ST,
223,1545251646,19640,Base Repair,,Completed,BARTLETT ST,2010,2010-09-29,HOBART RD RAMP,HOBART RD,
224,2062713701,8427,Base Repair,,Completed,BEAM WAY,2009,2009-10-08,MAPLE TER,SHILOH ST,
225,498541004,2571,Base Repair,,Completed,N EUCLID AVE,2015,2015-04-29,AZIMUTH WAY,BRYANT ST,
226,364198677,16465,Base Repair,,Completed,WENTWORTH AVE,2010,2010-06-14,BEECHVIEW AVE,METHYL ST,
227,824046089,17919,Base Repair,,Completed,ELLSWORTH AVE,2009,2009-06-22,ST JAMES PL,MOORHEAD PL,
228,811695312,12185,Base Repair,,Completed,COLLIER ST,2009,2009-08-13,BENNETT ST,FLEURY WAY,
229,844612971,18195,Base Repair,,Completed,GOE AVE,2010,2010-05-06,ATKINS ST,WAPELLO ST,
230,555577604,15736,Base Repair,,Completed,HALLOCK ST,2012,2012-10-23,VIRGINIA AVE,PIERMONT ST,
231,783088105,1464,Base Repair,,Completed,MAYVILLE AVE,2009,2009-07-15,ELMBANK ST,HARTRANFT ST,
232,2063344273,8948,Base Repair,,Completed,KENILWORTH ST,2013,2013-10-02,DEAD END,JILLSON AVE,
